Numer okręgu,PiS,KO,Lewica,TD,Konfederacja,MN
1,Elżbieta Witek,Zofia Czernow,Arkadiusz Sikora,Tadeusz Samborski,Robert Grzechnik,
2,Marcin Gwóźdź,Monika Wielichowska,Marek Dyduch,Zenon Madej,Damian Gomółka,
3,Mirosława Stachowiak-Różecka,Alicja Chybicka,Krzysztof Śmiszek,Tomasz Zimoch,Krzysztof Tuduj,
4,Paweł Szrot,Paweł Olszewski,Krzysztof Gawkowski,Norbert Pietrykowski,Marcin Sypniewski,
5,Krzysztof Szczucki,Arkadiusz Myrcha,Joanna Scheuring-Wielgus,Zbigniew Sosnowski,Przemysław Wipler,
6,Przemysław Czarnek,Marta Wcisło,Jacek Czerniak,Joanna Mucha,Bartłomiej Pejo,
7,Mariusz Kamiński,Krzysztof Grabczuk,Sylwia Buźniak,Wiesław Różyński,Witold Tumanowicz,
8,Marek Ast,Elżbieta Polak,Anita Kucharska-Dziedzic,Maja Nowak,Krystian Kamiński,
9,Zbigniew Rau,Dariusz Joński,Tomasz Trela,Ewa Szymanowska,Tomasz Grabarczyk,
10,Antoni Macierewicz,Bogusław Wołoszański,Anita Sowińska,Dariusz Klimczak,Patryk Marjan,
11,Joanna Lichocka,Cezary Tomczyk,Paulina Matysiak,Paweł Bejda,Marek Szewczyk,
12,Rafał Bochenek,Dorota Niedziela,Paweł Kobielusz,Paweł Śliz,Bartosz Wilczyński,
13,Małgorzata Wassermann,Bartłomiej Sienkiewicz,Maciej Gdula,Rafał Komarewicz,Konrad Berkowicz,
14,Ryszard Terlecki,Weronika Smarduch,Edward Ucherski,Urszula Nowogórska,Ryszard Wilk,
15,Anna Pieczarka,Urszula Augustyn,Jacek Jabłoński,Władysław Kosiniak-Kamysz,Karol Pęczek,
16,Kamil Bortniczuk,Marcin Kierwiński,Paulina Piechna-Więckiewicz,Piotr Zgorzelski,Paweł Usiądek,
17,Marek Suski,Joanna Kluzik-Rostkowska,Daniel Oliszewski,Mirosław Maliszewski,Rafał Foryś,
18,Maria Koc,Kamila Gasiuk-Pihowicz,Maria Parzychowska-Kurpiewska,Marek Sawicki,Krzysztof Mulawa,
19,Piotr Gliński,Donald Tusk,Adrian Zandberg,Michał Kobosko,Sławomir Mentzen,
20,Mariusz Błaszczak,Jan Grabiec,Arkadiusz Iwaniak,Paweł Zalewski,Janusz Korwin-Mikke,
21,Paweł Kukiz,Tomasz Siemoniak,Marcelina Zawisza,Adam Gomoła,Włodzimierz Skalik, Ryszard Galla
22,Marek Kuchciński,Joanna Frydrych,Łukasz Rydzik,Bartosz Romowicz,Andrzej Zapałowski,
23,Zbigniew Ziobro,Paweł Kowal,Wiesław Buż,Adam Dziedzic,Grzegorz Braun,
24,Jacek Sasin,Krzysztof Truskolaski,Paweł Krutul,Szymon Hołownia,Krzysztof Bosak,
25,Kacper Płażyński,Agnieszka Pomaska,Katarzyna Kotula,Agnieszka Buczyńska,Michał Urbaniak,
26,Piotr Müller,Barbara Nowacka,Agnieszka Dziemianowicz-Bąk,Marek Biernacki,Stanisław Tyszka,
27,Stanisław Szwed,Mirosława Nykiel,Przemysław Koperski,Mirosław Suchoń,Bronisław Foltyn,
28,Lidia Burzyńska,Izabela Leszczyna,Zdzisław Wolski,Henryk Kiepura,Paulina Hennig-Kloska,
29,Bożena Borys-Szopa,Krystyna Szumilas,Wanda Nowicka,Piotr Strach,Jakub Kalus,
30,Bolesław Piecha,Krzysztof Gadowski,Krzysztof Gadowski,Łukasz Osmalak,Roman Fritz,
31,Mateusz Morawiecki,Borys Budka,Maciej Konieczny,Michał Gramatyka,Grzegorz Płaczek,
32,Ewa Malik,Wojciech Saługa,Włodzimierz Czarzasty,Kamil Wnuk,Jerzy Janoska,
33,Jarosław Kaczyński,Marzena Okła-Drewnowicz,Andrzej Szejna,Czesław Siekierski,Michał Wawer,
34,Leonard Krasulski,Jacek Protas,Monika Falej,Rafał Ryszczuk,Konrad Sajkowski,
35,Janusz Cieszyński,Janusz Cichoń,Marcin Kulasek,Urszula Pasławska,Piotr Lisiecki,
36,Marlena Maląg,Jarosław Urbaniak,Wiesław Szczepański,Andrzej Grzyb,Andrzej Kuświk,
37,Zbigniew Hoffmann,Michał Kołodziejczak,Tadeusz Tomaszewski,Paulina Hennig-Kloska,Anna Bryłka,
38,Krzysztof Czarnecki,Jakub Rutnicki,Dariusz Standerski,Krzysztof Paszyk,Ziemowit Przebitkowski,
39,Szymon Szynkowski vel Sęk,Adam Szłapka,Katarzyna Ueberhan,Ewa Schädler,Radosław Lubczyk,
40,Czesław Hoc,Bartosz Arłukowicz,Małgorzata Prokop-Paczkowska,Radosław Lubczyk,Jan Adamczyk,
41,Marek Gróbarczyk,Sławomir Nitras,Dariusz Wieczorek,Jarosław Rzepa,Marcin Bedka,
